City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
0,Malakal,SS,71.47,9.5334,31.6605,Nile Palace Hotel
1,Bredasdorp,ZA,63.75,-34.5322,20.0403,Bredasdorp Country Manor
2,Damara,CF,71.13,4.9608,18.7035,
3,Kruisfontein,ZA,60.89,-34.0033,24.7314,Oyster Bay House Rental
4,Salalah,OM,77.09,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
5,Ribeira Grande,PT,67.77,38.5167,-28.7,Quinta da Meia Eira
7,Haines Junction,CA,39.15,60.7522,-137.5108,Parkside Inn
8,Souillac,MU,71.98,-20.5167,57.5167,Shanti Maurice Resort & Spa
9,Itarema,BR,79.3,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
10,Ilorin,NG,80.96,8.5,4.55,SITY INN
11,Busselton,AU,60.42,-33.65,115.3333,Observatory Guest House
12,Kapaa,US,85.98,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
13,Katsuura,JP,69.82,35.1333,140.3,Katsuura Hotel Mikazuki
14,Rikitea,PF,72.19,-23.1203,-134.9692,People ThankYou
15,Saint-Philippe,RE,69.39,-21.3585,55.7679,Le four à pain
16,Gizo,SB,82.44,-8.103,156.8419,Imagination Island
17,Vatne,NO,46.44,62.5667,6.65,Sunnmøre travlag klubbhus
18,Ushuaia,AR,42.46,-54.8,-68.3,Albatross Hotel
19,Cape Town,ZA,66.38,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
21,Punta Arenas,CL,44.71,-53.15,-70.9167,Hotel Hain
22,Hermanus,ZA,65.8,-34.4187,19.2345,Misty Waves Boutique Hotel
23,Arraial Do Cabo,BR,72.64,-22.9661,-42.0278,Pousada Porto Praia
24,Natal,BR,79.02,-5.795,-35.2094,Villa Park Hotel | Natal
25,Georgetown,MY,80.89,5.4112,100.3354,Cititel Penang
27,Lagoa,PT,65.1,39.05,-27.9833,Casa Das Faias
28,Hasaki,JP,63.0,35.7333,140.8333,Inubosaki Kanko Hotel
29,Shimoda,JP,73.76,34.6667,138.95,Shimoda Tokyu Hotel
30,Burns Lake,CA,42.22,54.2331,-125.7533,Burns Lake Bed and Breakfast
31,Matagami,CA,44.71,49.7502,-77.6328,Motel Le Caribou
